Category,Message
phishing,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+"
legitimate,Is that seriously how you spell his name?
legitimate,Iâm going to try for 2 months ha ha only joking
legitimate,So Ã¼ pay first lar... Then when is da stock comin...
legitimate,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
legitimate,Ffffffffff. Alright no way I can meet up with you sooner?
legitimate,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
legitimate,Lol your always so convincing.
legitimate,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
legitimate,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
legitimate,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
legitimate,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
legitimate,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
legitimate,K tell me anything about you.
legitimate,For fear of fainting with the of all that housework you just did? Quick have a cuppa
phishing,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
legitimate,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
legitimate,"Oops, I'll let you know when my roommate's done"
legitimate,I see the letter B on my car
legitimate,Anything lor... U decide...
legitimate,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
legitimate,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
legitimate,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
phishing,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
legitimate,WHO ARE YOU SEEING?
legitimate,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
legitimate,No calls..messages..missed calls
legitimate,Didn't you get hep b immunisation in nigeria.
legitimate,"Fair enough, anything going on?"
legitimate,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
legitimate,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
legitimate,What you thinked about me. First time you saw me in class.
legitimate,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
legitimate,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
legitimate,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
phishing,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
legitimate,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
phishing,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
legitimate,"Sorry, I'll call later in meeting."
legitimate,Tell where you reached
legitimate,Yes..gauti and sehwag out of odi series.
legitimate,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
legitimate,Ha ha ha good joke. Girls are situation seekers.
legitimate,Its a part of checking IQ
legitimate,"Sorry my roommates took forever, it ok if I come by now?"
legitimate,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
phishing,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
legitimate,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
phishing,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
phishing,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
legitimate,I plane to give on this month end.
legitimate,Wah lucky man... Then can save money... Hee...
legitimate,Finished class where are you.
legitimate,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
legitimate,K..k:)where are you?how did you performed?
legitimate,U can call me now...
legitimate,I am waiting machan. Call me once you free.
legitimate,Thats cool. i am a gentleman and will treat you with dignity and respect.
legitimate,I like you peoples very much:) but am very shy pa.
legitimate,Does not operate after  &lt;#&gt;  or what
legitimate,Its not the same here. Still looking for a job. How much do Ta's earn there.
legitimate,"Sorry, I'll call later"
legitimate,K. Did you call me just now ah?
legitimate,Ok i am on the way to home hi hi
legitimate,You will be in the place of that man
legitimate,Yup next stop.
legitimate,"I call you later, don't have network. If urgnt, sms me."
legitimate,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
legitimate,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
legitimate,I'm really not up to it still tonight babe
legitimate,"Ela kano.,il download, come wen ur free.."
legitimate,Yeah do! Donât stand to close tho- youâll catch something!
legitimate,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
legitimate,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
phishing,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
legitimate,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
phishing,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
legitimate,Watching telugu movie..wat abt u?
legitimate,i see. When we finish we have loads of loans to pay
legitimate,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
legitimate,I see a cup of coffee animation
legitimate,Please don't text me anymore. I have nothing else to say.
legitimate,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
legitimate,I'm still looking for a car to buy. And have not gone 4the driving test yet.
legitimate,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
legitimate,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
legitimate,Umma my life and vava umma love you lot dear
legitimate,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
legitimate,"Aight, I'll hit you up when I get some cash"
legitimate,How would my ip address test that considering my computer isn't a minecraft server
legitimate,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
legitimate,Dont worry. I guess he's busy.
legitimate,What is the plural of the noun research?
legitimate,Going for dinner.msg you after.
legitimate,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
phishing,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
legitimate,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
legitimate,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
phishing,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
legitimate,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
legitimate,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
phishing,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
phishing,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
legitimate,here is my new address -apples&pairs&all that malarky
phishing,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
legitimate,I am going to sao mu today. Will be done only at 12
legitimate,Ã predict wat time Ã¼'ll finish buying?
legitimate,"Good stuff, will do."
legitimate,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
legitimate,Are you there in room.
legitimate,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
legitimate,K..k:)how much does it cost?
legitimate,I'm home.
legitimate,"Dear, will call Tmorrow.pls accomodate."
legitimate,First answer my question.
phishing,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone
phishing,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
legitimate,I only haf msn. It's yijue@hotmail.com
legitimate,He is there. You call and meet him
legitimate,No no. I will check all rooms befor activities
phishing,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
legitimate,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...
legitimate,"K, text me when you're on the way"
legitimate,"Sir, Waiting for your mail."
legitimate,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
legitimate,I know you are. Can you pls open the back?
legitimate,Yes see ya not on the dot
legitimate,Whats the staff name who is taking class for us?
phishing,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
legitimate,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
legitimate,K..i deleted my contact that why?
legitimate,Sindu got job in birla soft ..
legitimate,The wine is flowing and i'm i have nevering..
legitimate,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
legitimate,Ok... Ur typical reply...
legitimate,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
legitimate,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
legitimate,Aaooooright are you at work?
legitimate,I'm leaving my house now...
legitimate,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
phishing,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
phishing,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
legitimate,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
legitimate,New car and house for my parents.:)i have only new job in hand:)
legitimate,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
phishing,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
phishing,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
legitimate,I place all ur points on e cultures module already.
phishing,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
legitimate,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
legitimate,Great escape. I fancy the bridge but needs her lager. See you tomo
legitimate,Yes :)it completely in out of form:)clark also utter waste.
legitimate,"Sir, I need AXIS BANK account no and bank address."
legitimate,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
legitimate,What time you coming down later?
legitimate,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
legitimate,"Well, i'm gonna finish my bath now. Have a good...fine night."
legitimate,Let me know when you've got the money so carlos can make the call
legitimate,U still going to the mall?
legitimate,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
legitimate,Text her. If she doesnt reply let me know so i can have her log in
legitimate,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
legitimate,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
legitimate,Lol no. U can trust me.
legitimate,ok. I am a gentleman and will treat you with dignity and respect.
legitimate,"He will, you guys close?"
legitimate,Going on nothing great.bye
legitimate,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
legitimate,"Haha awesome, be there in a minute"
phishing,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
legitimate,Have you got Xmas radio times. If not i will get it now
legitimate,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
phishing,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
legitimate,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
legitimate,Hi :)finally i completed the course:)
legitimate,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
legitimate,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
legitimate,Gud mrng dear hav a nice day
legitimate,Did u got that persons story
legitimate,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
legitimate,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
legitimate,"Found it, ENC  &lt;#&gt; , where you at?"
legitimate,I sent you  &lt;#&gt;  bucks
legitimate,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
legitimate,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
legitimate,Goodmorning sleeping ga.
legitimate,U call me alter at 11 ok.
legitimate,Ã say until like dat i dun buy ericsson oso cannot oredi lar...
legitimate,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
legitimate,"Aight yo, dats straight dogg"
legitimate,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
legitimate,Both :) i shoot big loads so get ready!
legitimate,"What's up bruv, hope you had a great break. Do have a rewarding semester."
legitimate,Home so we can always chat
legitimate,K:)k:)good:)study well.
legitimate,Yup... How Ã¼ noe leh...
legitimate,Sounds great! Are you home now?
legitimate,Finally the match heading towards draw as your prediction.
legitimate,Tired. I haven't slept well the past few nights.
legitimate,Easy ah?sen got selected means its good..
legitimate,I have to take exam with march 3
legitimate,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
legitimate,Ok no prob. Take ur time.
legitimate,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
legitimate,"Sorry, I'll call later"
legitimate,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
phishing,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
legitimate,Would really appreciate if you call me. Just need someone to talk to.
phishing,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
legitimate,Hey company elama po mudyadhu.
legitimate,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
legitimate,Dear good morning now only i am up
legitimate,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
legitimate,Dear we are going to our rubber place
legitimate,"Sorry battery died, yeah I'm here"
legitimate,Yes:)here tv is always available in work place..
phishing,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
legitimate,I have printed it oh. So  &lt;#&gt;  come upstairs
legitimate,Or ill be a little closer like at the bus stop on the same street
legitimate,Where are you?when wil you reach here?
legitimate,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
phishing,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
legitimate,Tomarrow final hearing on my laptop case so i cant.
legitimate,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
legitimate,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
legitimate,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
legitimate,U don't remember that old commercial?
legitimate,Too late. I said i have the website. I didn't i have or dont have the slippers
legitimate,I asked you to call him now ok
legitimate,Kallis wont bat in 2nd innings.
legitimate,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
phishing,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
legitimate,Ranjith cal drpd Deeraj and deepak 5min hold
legitimate,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
legitimate,What you doing?how are you?
legitimate,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
legitimate,"I'm back, lemme know when you're ready"
legitimate,Don't necessarily expect it to be done before you get back though because I'm just now headin out
legitimate,Mmm so yummy babe ... Nice jolt to the suzy
legitimate,Where are you lover ? I need you ...
phishing,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
legitimate,Iâm parked next to a MINI!!!! When are you coming in today do you think?
legitimate,Yup
legitimate,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
legitimate,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
phishing,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
legitimate,Why you Dint come with us.
legitimate,Same. Wana plan a trip sometme then
legitimate,"Not sure yet, still trying to get a hold of him"
phishing,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
legitimate,The evo. I just had to download flash. Jealous?
phishing,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
legitimate,"Come to mu, we're sorting out our narcotics situation"
legitimate,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
phishing,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
legitimate,"Usf I guess, might as well take 1 car"
legitimate,No objection. My bf not coming.
legitimate,Thanx...
legitimate,Tell rob to mack his gf in the theater
legitimate,"Awesome, I'll see you in a bit"
legitimate,Just sent it. So what type of food do you like?
legitimate,All done? All handed in? Celebrations in full swing yet?
legitimate,You got called a tool?
legitimate,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
legitimate,Ok. I asked for money how far
legitimate,Okie...
legitimate,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
legitimate,"K, I might come by tonight then if my class lets out early"
legitimate,Ok..
legitimate,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
legitimate,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
legitimate,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
legitimate,Hey you told your name to gautham ah?
legitimate,Haf u found him? I feel so stupid da v cam was working.
legitimate,Oops. 4 got that bit.
legitimate,Are you this much buzy
legitimate,I accidentally deleted the message. Resend please.
phishing,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
legitimate,Unless it's a situation where YOU GO GURL would be more appropriate
legitimate,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
legitimate,I cant pick the phone right now. Pls send a message
legitimate,Need a coffee run tomo?Can't believe it's that time of week already
legitimate,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
legitimate,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
legitimate,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
legitimate,He is a womdarfull actor
phishing,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
legitimate,Yup... From what i remb... I think should be can book...
legitimate,Jos ask if u wana meet up?
legitimate,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
phishing,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
legitimate,Where are the garage keys? They aren't on the bookshelf
legitimate,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
phishing,"Think ur smart ? Win Â£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
legitimate,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
legitimate,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
legitimate,You made my day. Do have a great day too.
legitimate,K.k:)advance happy pongal.
legitimate,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
legitimate,"Not really dude, have no friends i'm afraid :("
phishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
legitimate,"Coffee cake, i guess..."
legitimate,"Merry Christmas to you too babe, i love ya *kisses*"
legitimate,Hey... Why dont we just go watch x men and have lunch... Haha
legitimate,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
legitimate,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
legitimate,No problem. How are you doing?
legitimate,No calls..messages..missed calls
legitimate,Hi da:)how is the todays class?
legitimate,"I'd say that's a good sign but, well, you know my track record at reading women"
legitimate,"Cool, text me when you're parked"
legitimate,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
legitimate,K.k:)apo k.good movie.
legitimate,Maybe i could get book out tomo then return it immediately ..? Or something.
phishing,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
legitimate,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
phishing,Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
legitimate,"Ta-Daaaaa! I am home babe, are you still up ?"
legitimate,Cool. So how come you havent been wined and dined before?
legitimate,Just sleeping..and surfing
legitimate,"Sorry, I'll call later"
legitimate,U calling me right? Call my hand phone...
legitimate,Ok that's great thanx a lot.
legitimate,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
legitimate,Where u been hiding stranger?
legitimate,Am not interested to do like that.
legitimate,My sister cleared two round in birla soft yesterday.
legitimate,Gudnite....tc...practice going on
legitimate,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
legitimate,One small prestige problem now.
phishing,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
legitimate,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
legitimate,"Nah can't help you there, I've never had an iphone"
legitimate,If you're not in my car in an hour and a half I'm going apeshit
legitimate,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
legitimate,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
legitimate,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
